   ,max_ep ,max_it ,batch ,datas ,LR    ,ue  ,train_t ,res_waste ,rew    ,pred_tt ,er_prc_tt ,er_abs_tt ,pred_rew ,er_prc_rew ,er_abs_rew ,pred_rw ,er_prc_rw ,er_abs_rw
16 ,     1 ,     2 ,  139 ,22428 ,0.029 , 80 ,  8.635 ,  896.982 ,-1.503 ,  2.276 ,   73.0   ,-6.358    ,-2.811   ,   107.0   ,-1.308     ,242.719 ,   73.0   ,-654.263
15 ,     1 ,     2 ,  133 ,23285 ,0.028 , 87 ,  9.228 ,  895.427 ,-1.776 ,  2.172 ,   76.5   ,-7.056    ,-3.007   ,    70.75  ,-1.231     ,286.026 ,   68.25  ,-609.401
14 ,     1 ,     2 ,  129 ,22612 ,0.009 ,  4 ,  9.964 ,  917.789 ,-1.945 ,  2.101 ,   79.0   ,-7.864    ,-2.878   ,    48.25  ,-0.933     ,314.346 ,   65.75  ,-603.443
13 ,     1 ,     2 ,  123 ,22349 ,0.031 ,  5 , 10.314 ,  905.618 ,-2.007 ,  1.996 ,   80.5   ,-8.317    ,-3.164   ,    58.25  ,-1.157     ,357.537 ,   60.5   ,-548.081
12 ,     1 ,     2 ,  120 ,19795 ,0.003 ,  9 ,  9.712 ,  924.471 ,-1.887 ,  1.945 ,   79.75  ,-7.767    ,-3.283   ,    74.0   ,-1.396     ,386.644 ,   58.25  ,-537.827
11 ,     1 ,     2 ,  107 ,23236 ,0.006 ,  5 ,  9.403 ,  937.783 ,-1.836 ,  1.716 ,   81.25  ,-7.687    ,-3.518   ,    96.0   ,-1.681     ,473.562 ,   49.75  ,-464.221
10 ,     1 ,     2 ,  100 ,22605 ,0.003 , 66 ,  9.165 ,  920.916 ,-1.791 ,  1.592 ,   82.25  ,-7.572    ,-3.995   ,   124.75  ,-2.204     ,529.732 ,   42.0   ,-391.184
 9 ,     1 ,     2 ,   99 ,22953 ,0.028 , 98 , 10.036 ,  891.777 ,-2.004 ,  1.634 ,   83.75  ,-8.402    ,-4.019   ,   102.25  ,-2.015     ,507.689 ,   43.25  ,-384.088
 6 ,     1 ,     2 ,   30 , 1296 ,0.005 ,  5 ,  3.263 ,  292.397 ,-1.66  ,  2.471 ,   23.6   ,-0.792    ,-2.0     ,    27.0   ,-0.34      ,151.848 ,   34.8   ,-140.549
 7 ,     1 ,     2 ,   30 , 3255 ,0.005 ,  5 ,  3.698 ,  286.025 ,-1.544 ,  2.471 ,   24.4   ,-1.227    ,-2.03    ,    39.6   ,-0.486     ,151.403 ,   36.0   ,-134.622
 8 ,     1 ,     2 ,   30 ,23158 ,0.006 , 66 ,  9.413 ,  874.85  ,-1.759 ,  2.468 ,   73.75  ,-6.945    ,-2.102   ,    20.0   ,-0.343     ,150.671 ,   83.0   ,-724.179
 5 ,     1 ,     2 ,   29 , 1000 ,0.005 ,  5 ,  3.492 ,  285.678 ,-1.577 ,  2.406 ,   25.8   ,-1.085    ,-2.834   ,    90.0   ,-1.256     ,146.649 ,   34.2   ,-139.029
 4 ,     1 ,     2 ,   21 ,19761 ,0.007 ,  3 , 10.098 ,  883.486 ,-2.014 ,  2.568 ,   74.5   ,-7.531    ,-2.282   ,    14.0   ,-0.268     ,142.555 ,   83.75  ,-740.931
 3 ,     1 ,     2 ,    1 , 1000 ,0.005 ,  5 ,  3.9   ,  275.61  ,-1.786 ,  2.552 ,   28.8   ,-1.348    ,-2.4     ,    37.0   ,-0.614     ,149.534 ,   32.8   ,-126.075
 0 ,     1 ,     1 ,   30 , 1898 ,0.005 ,  5 ,  2.159 ,  113.794 ,-1.598 ,  2.933 ,   35.75  ,0.774     ,-2.053   ,    33.5   ,-0.455     ,157.977 ,   38.75  ,44.182
 1 ,     1 ,     1 ,   30 ,22698 ,0.005 ,  5 ,  2.081 ,  115.257 ,-1.608 ,  2.93  ,   41.0   ,0.849     ,-2.052   ,    59.0   ,-0.445     ,158.105 ,   37.0   ,42.848
 2 ,     1 ,     1 ,   30 ,23756 ,0.005 ,  5 ,  2.118 ,  111.263 ,-1.827 ,  2.931 ,   38.5   ,0.813     ,-2.028   ,    28.75  ,-0.201     ,157.755 ,   42.25  ,46.492
